,,,,,,,,,,,
name, state,location,course_level,fees,branches,", min_score", max_score, review_text, rating.,,
Central Institute of Plastic Engineering and Technology,Odisha, Bhubaneswar,UG,240000,Integrated M.Sc. in Material Science and Engg,500506,995058,good,4,,
Central Institute of Plastic Engineering and Technology,Odisha, Bhubaneswar,UG,240000,Manufacturing Engineering & Technology,480483,1006885,good,4,,
Central Institute of Plastic Engineering and Technology,Odisha, Bhubaneswar,UG,240004,Plastic Engineering,185541,1105236,good,4,,
College of Engineering and Technology,Odisha, Bhubaneswar,UG,280000,B ARCH,2018,9799,good,4,,
College of Engineering and Technology,Odisha, Bhubaneswar,UG,280000,B. PLAN,1331,998798,good,4,,
College of Engineering and Technology,Odisha, Bhubaneswar,UG,280000,Bio Technology(SSC),104280,234748,good,4,,
College of Engineering and Technology,Odisha, Bhubaneswar,UG,280000,Civil Engineering,76043,197109,good,4,,
College of Engineering and Technology,Odisha, Bhubaneswar,UG,280000,Computer Science and Engineering(SSC),29654,55566,good,4,,
College of Engineering and Technology,Odisha, Bhubaneswar,UG,280000,Electrical Engineering,28548,100288,good,4,,
College of Engineering and Technology,Odisha, Bhubaneswar,UG,280000,Electronics & Instrumentation Engineering,65099,146344,good,4,,
College of Engineering and Technology,Odisha, Bhubaneswar,UG,280000,Fashion & Apparel  Technology(SSC),291793,1103228,good,4,,
College of Engineering and Technology,Odisha, Bhubaneswar,UG,280000,Information Technology(SSC),56386,76736,good,4,,
College of Engineering and Technology,Odisha, Bhubaneswar,UG,280000,Integrated MSc in Applied Chemistry,65616,531689,good,4,,
College of Engineering and Technology,Odisha, Bhubaneswar,UG,280000,Integrated MSc in Applied Physics,92352,543204,good,4,,
College of Engineering and Technology,Odisha, Bhubaneswar,UG,280000,Integrated MSc in Mathematics and Computing,90034,546933,good,4,,
College of Engineering and Technology,Odisha, Bhubaneswar,UG,280000,Mechanical Engineering,61700,138881,good,4,,
College of Engineering and Technology,Odisha, Bhubaneswar,UG,80000,Textile Engineering,204665,617577,good,4,,
Government College of Engineering ,Odisha, Kalahandi,UG,80000,Civil Engineering,380314,1103577,good,4,,
Government College of Engineering ,Odisha, Kalahandi,UG,80000,Computer Science and Engineering,209595,389530,good,4,,
Government College of Engineering ,Odisha, Kalahandi,UG,80000,Electrical Engineering,396077,1103800,good,4,,
Government College of Engineering ,Odisha, Kalahandi,UG,80000,Mechanical Engineering,399498,1103930,good,4,,
Government College of Engineering,Odisha, Keonjhar,UG,80000,Civil Engineering,287225,1100049,good,4,,
Government College of Engineering,Odisha, Keonjhar,PG,80000,Computer Science and Engineering,118741,317462,good,4,,
Government College of Engineering,Odisha, Keonjhar,UG,80000,Electrical Engineering,288459,1101052,good,4,,
Government College of Engineering,Odisha, Keonjhar,UG,80000,Mechanical Engineering,214983,968568,good,4,,
Government College of Engineering,Odisha, Keonjhar,UG,80000,Metallurgical and Materials Engineering,321841,998911,good,4,,
Government College of Engineering,Odisha, Keonjhar,UG,80000,Mineral Engineering,475293,1104612,good,4,,
Government College of Engineering,Odisha, Keonjhar,UG,80000,Mining Engineering,116246,392350,good,4,,
Indira Gandhi Institute of Technology,Odisha, Sarang,UG,100000,Chemical Engineering,243932,583695,good,4,,
Indira Gandhi Institute of Technology,Odisha, Sarang,UG,100000,Civil Engineering,178066,439072,good,4,,
Indira Gandhi Institute of Technology,Odisha, Sarang,UG,100000,Computer Science and Engineering(SSC),69372,149276,good,3,,
